work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,all_kudos,all_bookmarks,body
55626877,Building a Home,['Groot_the_tree'],General Audiences,M/M,"X-Men - All Media Types, X-Men (Movieverse), X-Men (Alternate Timeline Movies)",Erik Lehnsherr/Charles Xavier,"Charles Xavier, Erik Lehnsherr","Genosha (X-Men), Post-Movie: X-Men: Dark Phoenix (2019), Fluff, Getting Together, Love Confessions, Erik Logic Is The Best Logic, Charles Xavier in a Wheelchair, Erik Lehnsherr Loves Charles Xavier, Charles Xavier Loves Erik Lehnsherr, Chess",English,2024-05-02,Completed,2024-05-02,"2,403",1/1,null,12,null,56,"['Blu3Morph0s1', 'mandoade', 'Spurs1882', 'berrylollizta', 'dnmoont', 'Sexycroissant', 'Angst_BuriTTo', 'Mataolma', 'gentlyepigrams', 'Talyawnchstr', 'NessaNight', 'Iwillshipuman69']",[],
54977059,"Broken Lover's Gambit, Declined",['Lillymoonstone (LilyG3mini)'],General Audiences,"Gen, M/M",Formula 1 RPF,Charles Leclerc/Max Verstappen,"Max Verstappen, Charles Leclerc, Oliver Bearman, Other(s)","Angst with a Happy Ending, Light Angst, Fluff, Social Media, Friends to Enemies, Kinda, Alternate Universe, Chess, The Drivers Are Chess Players, chess au, Ollie is a Child of Divorce, And on an Impossible Mission, Post-Divorce",English,2024-04-06,Updated,2024-05-02,"14,243",5/6,22,158,28,"3,273","['Ademiomnijem', 'xxtasyaxx', 'midnightcalls', '13_Ira_13', 'Xenachmenos', 'Dreagnf9', 'gelberpinguin', 'i_Like_monkeys', 'MadiiHatter', 'wisdomofme', 'Lestappen2022', 'Ada188', 'Jubchan', 'Lokes_Odinson', 'aika2020', 'ProfPanda287', 'Emmagalller', 'kuolonsyoja', 'Zadra000', 'Aestates', 'Moonaii', 'Smartasshomo', 'CaptainCuervo', 'maxy666', 'flowergirl', 'Guada916', 'Asjechri', 'LeonSolo', 'Wassup9', 'Chiichyoo', 'unicornseeker15', 'LGardiner', 'bowlofspaghetti', 'shrinemoon', '2012ls28', 'Bliblublab', 'B_tree_3', 'ajetslag', 'avg_virane_enjoyer', 'finneyblake_robinarellano4life', 'ivykillua', 'mushsroom', 'Djangopups', 'suhani_moarmy', 'Nono19', 'Milkteaangie', 'a_child', 'strawbecca', 'TeaOocup', 'eli_ot']",[],
55604152,Checkers,['AboveTheFold'],General Audiences,,We Are The Tigers - Allen,Chess & Kate (We Are The Tigers),"Kate (We Are The Tigers), Chess (We Are The Tigers)","Sleepovers, Chess, In-Jokes, Checkers, Best Friends, They/them pronouns for Kate",English,2024-05-01,Completed,2024-05-01,400,1/1,null,null,null,2,[],[],
55603609,Jealousy,['Groot_the_tree'],General Audiences,M/M,"X-Men - All Media Types, X-Men (Movieverse), X-Men (Alternate Timeline Movies)",Erik Lehnsherr/Charles Xavier,"Charles Xavier, Erik Lehnsherr, Moira MacTaggert","Jealousy, Erik Lehnsherr Loves Charles Xavier, Chess, Movie: X-Men: First Class (2011), Pining, Fluff, Getting Together, First Kiss, Erik Has Feelings, Erik Logic Is The Best Logic",English,2024-05-01,Completed,2024-05-01,"2,004",1/1,2,47,1,169,"['Wandering_Hero', 'This_should_be_interesting2022', 'The_Aesthetic_Writer', 'Mrs_Sopo', 'Jaiy', 'jeysope', 'Yuki20089', 'Sellio', 'LumicCrypt', 'FunkyFroggie', 'CrazedSweetheart', 'Sherlockian18', 'mac_smalls', 'Abril_lov', 'alchemagician', 'Blu3Morph0s1', 'lastqveenofmars', 'Tishtasharoo', 'Ali03', 'ncbexie25', 'marywholovesthegrumpyboys', 'gentlyepigrams', 'Sexycroissant', 'Natimartins', 'Spurs1882', 'erodingthebluff', 'NessaNight', 'Martavivi', 'O_S_M', 'SavageGrace', 'FourAlignments', 'Rem_el_bardo', 'Raithwithwings57', 'Mataolma', 'Ladykrose', 'mandoade', 'cathryn2902', 'Iwillshipuman69']",[],
55546111,Ghost of Chicago,['ManhattanCrossRip'],General Audiences,F/F,"Ghostbusters (1984-1989; 2021), Ghostbusters - All Media Types","Melody (Ghostbusters)/Phoebe Spengler, Melody (Ghostbusters) & Phoebe Spengler","Melody (Ghostbusters), Phoebe Spengler","Alternate Universe - Character Swap, Chess, Meet-Cute, First Meetings, One Shot, Lesbian Phoebe Spengler, Ghost Phoebe Spengler, Autistic Phoebe Spengler, Alive Melody (Ghostbusters), mentioned death, Alternate Universe - Canon Divergence, Melody's last name is Hayes (it means fire), Checkmatch, Sapphic Melody (Ghostbusters)",English,2024-04-29,Completed,2024-04-29,482,1/1,2,32,3,176,"['Hooty_is_a_bug', 'LeafyTheLeafeon', 'arcanes_madness', 'BalloonDog27', 'AlexToon', 'Lesbean4ur_mum', 'stray_dinosaur', 'Wandanat8', 'AngleNotAngel', 'thistlespring', 'Arrow_of_ravenclaw', 'thegayratandworm', 'Last_Sleeper', 'TillyCampbell1309', 'Golden_Phantom', 'MrObscure', 'Nw_Selkie', 'AsteGhost', 'sleep_deprived_ace', 'breadest_stick_of_lord']",[],
55517713,"Forever and Always, by littleMStar (podfic)",['cookiemom6067'],General Audiences,M/M,"Star Trek, Star Trek: Strange New Worlds (TV), Star Trek: The Original Series","James T. Kirk/Spock, James T. Kirk & Spock & Nyota Uhura","Spock (Star Trek), James T. Kirk, Nyota Uhura","Developing Friendships, Friendship/Love, connection, First Love, James T. Kirk & Spock Friendship, Adorable Spock (Star Trek), Oblivious Jim, Walk Into A Bar, Feelings, thoughts, Chess, inner thoughts, confraternization, Friendship, James T. Kirk & Nyota Uhura Friendship, Podfic, Podfic Length: 10-20 Minutes",English,2024-04-28,Completed,2024-04-28,28,1/1,3,6,null,150,"['evisionarts', 'AceOfTigers', 'Miepje', 'Dissyone', 'Diamond_Dove']",[],
54035056,"Phenomenology of a Kidou (o, gli anni formativi a casa Kidou)",['Lilluh'],General Audiences,Gen,Inazuma Eleven,"Kageyama Reiji & Kidou Yuuto, Kidou Yuuto & Kidou Yuuto's Father, Genda Koujirou & Kidou Yuuto, Kidou Yuuto & Otonashi Haruna, Kidou Yuuto & Sakuma Jirou, Fudou Akio/Kidou Yuuto, Gouenji Shuuya/Kidou Yuuto","Kidou Yuuto, Kidou Yuuto's Father, Kageyama Reiji, Hakamada (Inazuma Eleven), Genda Koujirou, Sakuma Jirou, Fudou Akio, Gouenji Shuuya, Otonashi Haruna, Teikoku Eleven","Childhood Memories, Parent-Child Relationship, Angst, Hurt No Comfort, Kidou deserved better, Developing Friendships, Character Study, Canonical Character Death, Character Development, Teacher Kageyama, Genda's parents suck, Minor Original Character(s), Crush at First Sight, First Kiss, Chess, Underage Smoking, Bullying, Childhood Trauma, Emotional/Psychological Abuse, Kidou's father and Kageyama act like divorced parents, and that's canon, Headcanon",Italiano,2024-02-24,Updated,2024-04-28,"39,223",10/12,1,23,null,341,"['Olivio', 'Littlelessie', 'XINRIP', 'Fryfry_0']",[],
49236490,The Friend & The Fiend,['TheDarknessDragon36'],General Audiences,,Gravity Falls,"Dipper Pines & Mabel Pines, Bill Cipher & Dipper Pines & Mabel Pines, Dipper Pines & Mabel Pines & Original Character(s), Dipper Pines & Original Male Character(s), Mabel Pines & Original Character(s), Bill Cipher & Original Male Character(s)","Dipper Pines, Mabel Pines, Bill Cipher, Original Male Character(s), Ford Pines, Stan Pines, Dipper & Mabel Pines' Parents","Original Character(s), Canon Continuation, School, Friendship, Male-Female Friendship, Male Friendship, Bill Cipher Returns, Revenge, Supernatural Elements, Humor, Bill Cipher Lives, Comfort, Deal with a Devil, Post-Gravity Falls, Gravity Falls Spoilers, Emotional Manipulation, Emotional Hurt/Comfort, Bill Cipher Deals With Human Emotions, Forgiveness, Bill Cipher Redemption, Dreamscapes, Memories, Childhood Memories, Halloween, Trick or Treating, Growing Up, Growing Up Together, Demonic Possession, Redemption, Trust, Trust Issues, Confessions, Bill Cipher Being Bill Cipher, Bill Cipher Needs a Hug, Regret, Sleepovers, Detention, Alternate Timelines, Non-Canonical Character Death, Bullying, Manipulation, Mabel Pines Needs A Hug, Snow, Snowball Fight, Snow Day, Snowed In, Chess, Birthday, Physical Abuse, Protective Siblings, Dipper Pines Needs A Hug",English,2023-08-09,Updated,2024-04-28,"69,628",31/?,31,56,6,"1,156","['Wooden_Porkchop', 'Olatudobem', 'EllaE8', 'cRiMkEt', 'Neverending9', 'sofi_a9wyu7wtw', 'TheBurningEyeOfDawn', 'Rappit', 'Vortexo22', 'Tortugathefrog', 'Incognito_Burrito', 'Toniritto', 'cipherz']",[],
55495894,Are We So Close,['deutane'],General Audiences,Gen,Lifesteal SMP,"Brandon | MinuteTech & JumperWho, JumperWho & PrinceZam (Video Blogging RPF), Brandon | MinuteTech & PrinceZam, Pentar & JumperWho, Pentar & MinuteTech, Pentar & PrinceZam, JumperWho & Loyalty Issues","PrinceZam (Video Blogging RPF), JumperWho (Video Blogging RPF), Brandon | MinuteTech, Pentar (Video Blogging RPF)","Metaphors, Chess Metaphors, Lifesteal SMP Season 4, Lifesteal SMP Season 3, Lifesteal SMP Season 5, Dubious Morality, Morally Ambiguous Character, Mind Games, Giving Up, Team as Family, Team Dynamics, Trust Issues, JumperWho is Loyalty, Pentar Is Purpose, Minute Is Reliance, Comparing People, Questioning self, Dissociation, pure angst, Hurt No Comfort, Emotional Manipulation, Emotional Hurt, Emotionally Repressed JumperWho, Short One Shot",English,2024-04-27,Completed,2024-04-27,"1,042",1/1,14,13,null,87,"['zero_flower', 'F0XXF1RE', 'randomprism', 'M4p1c', 'Duhhpink', 'reconnectng', 'bloomishes', 'eunkay', 'Teal_Forest', 'rhaynee']",[],
55462573,A game of chess,['Trans_Dragon01'],General Audiences,Gen,Pu nohi-ro-akademia | Boku no Hero Academia | My Hero Academia (Anime & Manga),Midoriya Izuku & Nedzu,"Midoriya Izuku, Nedzu (My Hero Academia)","Mentor Nedzu (My Hero Academia), Chess, Author knows nothing about chess, Drabble, Double Drabble",English,2024-04-25,Completed,2024-04-25,199,1/1,null,2,null,43,"['just_really_no_one', 'Krank12305']",[],
